,Pair,Count
42,12 - Charge detection error;52 - Jet modulation has failed,98
43,142 - Recovered successfully;52 - Jet modulation has failed,75
44,12 - Charge detection error;142 - Recovered successfully,97
45,234 - Gutter Stall;560 - Vacuum loss recovery time out,4
46,140 - Ink detected on the charge electrode;234 - Gutter Stall,2
47,143 - The attempt to recover has failed;234 - Gutter Stall,2
48,140 - Ink detected on the charge electrode;560 - Vacuum loss recovery time out,5
49,143 - The attempt to recover has failed;560 - Vacuum loss recovery time out,5
50,140 - Ink detected on the charge electrode;143 - The attempt to recover has failed,25
51,236 - Gutter blocked attempting to clear;237 - Gutter Blocked,44
52,236 - Gutter blocked attempting to clear;558 - Gutter dry while running,1
53,236 - Gutter blocked attempting to clear;534 - Insert ink cartridge: No Valid Cartridge Present,8
54,237 - Gutter Blocked;558 - Gutter dry while running,1
55,237 - Gutter Blocked;534 - Insert ink cartridge: No Valid Cartridge Present,10
56,534 - Insert ink cartridge: No Valid Cartridge Present;558 - Gutter dry while running,3
57,238 - Insufficient gutter vacuum: retrying;564 - Gutter vacuum cannot be generated,39
58,238 - Insufficient gutter vacuum: retrying;46 - Makeup Level too High,10
59,46 - Makeup Level too High;564 - Gutter vacuum cannot be generated,3
60,561 - Gutter pump vacuum loss but has recovered;581 - ITM life expiry: First Warning,11
61,542 - Change makeup cartridge: Cartridge Empty;561 - Gutter pump vacuum loss but has recovered,19
62,544 - Insert makeup cartridge - no valid cartridge present;561 - Gutter pump vacuum loss but has recovered,25
63,25 - Add make-up cartridge;561 - Gutter pump vacuum loss but has recovered,22
64,542 - Change makeup cartridge: Cartridge Empty;581 - ITM life expiry: First Warning,23
65,544 - Insert makeup cartridge - no valid cartridge present;581 - ITM life expiry: First Warning,34
66,25 - Add make-up cartridge;581 - ITM life expiry: First Warning,42
67,542 - Change makeup cartridge: Cartridge Empty;544 - Insert makeup cartridge - no valid cartridge present,172
68,25 - Add make-up cartridge;542 - Change makeup cartridge: Cartridge Empty,289
69,25 - Add make-up cartridge;544 - Insert makeup cartridge - no valid cartridge present,193
70,237 - Gutter Blocked;557 - Misaligned jet at start-up,7
71,15 - Deflection EHT has tripped;237 - Gutter Blocked,8
72,138 - Print trigger occurred too early;237 - Gutter Blocked,5
73,10 - Print Stretch Detected;237 - Gutter Blocked,2
74,15 - Deflection EHT has tripped;557 - Misaligned jet at start-up,26
75,138 - Print trigger occurred too early;15 - Deflection EHT has tripped,64
76,10 - Print Stretch Detected;15 - Deflection EHT has tripped,73
77,532 - Change ink cartridge: Empty;581 - ITM life expiry: First Warning,2
78,1017 - Print delay too short;134 - Unexpected shutdown,5
79,1017 - Print delay too short;138 - Print trigger occurred too early,10
80,10 - Print Stretch Detected;1017 - Print delay too short,7
81,15 - Deflection EHT has tripped;41 - Ink level high,34
82,139 - Print Trigger Occurred While Printing;41 - Ink level high,23
83,139 - Print Trigger Occurred While Printing;15 - Deflection EHT has tripped,93
84,25 - Add make-up cartridge;45 - Watchdog Reset,4
85,134 - Unexpected shutdown;544 - Insert makeup cartridge - no valid cartridge present,74
86,138 - Print trigger occurred too early;542 - Change makeup cartridge: Cartridge Empty,36
87,142 - Recovered successfully;542 - Change makeup cartridge: Cartridge Empty,71
88,138 - Print trigger occurred too early;25 - Add make-up cartridge,43
89,142 - Recovered successfully;25 - Add make-up cartridge,104
90,234 - Gutter Stall;542 - Change makeup cartridge: Cartridge Empty,9
91,234 - Gutter Stall;544 - Insert makeup cartridge - no valid cartridge present,5
92,234 - Gutter Stall;25 - Add make-up cartridge,5
93,238 - Insufficient gutter vacuum: retrying;558 - Gutter dry while running,4
94,558 - Gutter dry while running;564 - Gutter vacuum cannot be generated,3
95,560 - Vacuum loss recovery time out;561 - Gutter pump vacuum loss but has recovered,22
96,134 - Unexpected shutdown;238 - Insufficient gutter vacuum: retrying,17
97,134 - Unexpected shutdown;524 - Insert ITM: no valid ITM present,6
98,134 - Unexpected shutdown;534 - Insert ink cartridge: No Valid Cartridge Present,31
99,134 - Unexpected shutdown;15 - Deflection EHT has tripped,51
100,134 - Unexpected shutdown;510 - Service module disconnected,6
101,238 - Insufficient gutter vacuum: retrying;524 - Insert ITM: no valid ITM present,5
102,238 - Insufficient gutter vacuum: retrying;534 - Insert ink cartridge: No Valid Cartridge Present,19
103,238 - Insufficient gutter vacuum: retrying;544 - Insert makeup cartridge - no valid cartridge present,38
104,15 - Deflection EHT has tripped;238 - Insufficient gutter vacuum: retrying,39
105,138 - Print trigger occurred too early;238 - Insufficient gutter vacuum: retrying,15
106,238 - Insufficient gutter vacuum: retrying;510 - Service module disconnected,1
107,213 - Inspection Required;238 - Insufficient gutter vacuum: retrying,12
108,524 - Insert ITM: no valid ITM present;534 - Insert ink cartridge: No Valid Cartridge Present,20
109,524 - Insert ITM: no valid ITM present;544 - Insert makeup cartridge - no valid cartridge present,16
110,15 - Deflection EHT has tripped;524 - Insert ITM: no valid ITM present,9
111,138 - Print trigger occurred too early;524 - Insert ITM: no valid ITM present,5
112,510 - Service module disconnected;524 - Insert ITM: no valid ITM present,14
113,213 - Inspection Required;524 - Insert ITM: no valid ITM present,3
114,534 - Insert ink cartridge: No Valid Cartridge Present;544 - Insert makeup cartridge - no valid cartridge present,79
115,15 - Deflection EHT has tripped;534 - Insert ink cartridge: No Valid Cartridge Present,46
116,138 - Print trigger occurred too early;534 - Insert ink cartridge: No Valid Cartridge Present,11
117,510 - Service module disconnected;534 - Insert ink cartridge: No Valid Cartridge Present,8
118,213 - Inspection Required;534 - Insert ink cartridge: No Valid Cartridge Present,12
119,15 - Deflection EHT has tripped;544 - Insert makeup cartridge - no valid cartridge present,124
120,138 - Print trigger occurred too early;544 - Insert makeup cartridge - no valid cartridge present,46
121,510 - Service module disconnected;544 - Insert makeup cartridge - no valid cartridge present,10
122,213 - Inspection Required;544 - Insert makeup cartridge - no valid cartridge present,25
123,15 - Deflection EHT has tripped;510 - Service module disconnected,6
124,15 - Deflection EHT has tripped;213 - Inspection Required,64
125,138 - Print trigger occurred too early;510 - Service module disconnected,3
126,213 - Inspection Required;510 - Service module disconnected,2
127,142 - Recovered successfully;581 - ITM life expiry: First Warning,26
128,532 - Change ink cartridge: Empty;609 - Ensure all consumables are engaged,3
129,19 - Add ink cartridge;532 - Change ink cartridge: Empty,9
130,19 - Add ink cartridge;609 - Ensure all consumables are engaged,5
131,25 - Add make-up cartridge;590 - Persistent fault,15
132,134 - Unexpected shutdown;234 - Gutter Stall,1
133,134 - Unexpected shutdown;236 - Gutter blocked attempting to clear,4
134,134 - Unexpected shutdown;561 - Gutter pump vacuum loss but has recovered,9
135,134 - Unexpected shutdown;41 - Ink level high,14
136,234 - Gutter Stall;236 - Gutter blocked attempting to clear,3
137,234 - Gutter Stall;550 - Degraded gutter clearing at start-up,1
138,234 - Gutter Stall;561 - Gutter pump vacuum loss but has recovered,6
139,234 - Gutter Stall;41 - Ink level high,1
140,236 - Gutter blocked attempting to clear;550 - Degraded gutter clearing at start-up,9
141,236 - Gutter blocked attempting to clear;561 - Gutter pump vacuum loss but has recovered,7
142,236 - Gutter blocked attempting to clear;41 - Ink level high,8
143,550 - Degraded gutter clearing at start-up;561 - Gutter pump vacuum loss but has recovered,6
144,41 - Ink level high;550 - Degraded gutter clearing at start-up,4
145,41 - Ink level high;561 - Gutter pump vacuum loss but has recovered,7
146,237 - Gutter Blocked;560 - Vacuum loss recovery time out,2
147,238 - Insufficient gutter vacuum: retrying;542 - Change makeup cartridge: Cartridge Empty,18
148,238 - Insufficient gutter vacuum: retrying;25 - Add make-up cartridge,21
149,134 - Unexpected shutdown;16 - Viscosity Out of Range,5
150,15 - Deflection EHT has tripped;16 - Viscosity Out of Range,23
151,142 - Recovered successfully;15 - Deflection EHT has tripped,188
152,138 - Print trigger occurred too early;16 - Viscosity Out of Range,5
153,139 - Print Trigger Occurred While Printing;16 - Viscosity Out of Range,13
154,142 - Recovered successfully;16 - Viscosity Out of Range,18
155,143 - The attempt to recover has failed;542 - Change makeup cartridge: Cartridge Empty,13
156,143 - The attempt to recover has failed;25 - Add make-up cartridge,19
157,20 - Ink Level Below Minimum;607 - Ink cartridge not engaged,10
158,590 - Persistent fault;607 - Ink cartridge not engaged,12
159,20 - Ink Level Below Minimum;590 - Persistent fault,25
160,134 - Unexpected shutdown;542 - Change makeup cartridge: Cartridge Empty,46
161,134 - Unexpected shutdown;25 - Add make-up cartridge,57
162,134 - Unexpected shutdown;45 - Watchdog Reset,12
163,45 - Watchdog Reset;542 - Change makeup cartridge: Cartridge Empty,2
164,213 - Inspection Required;542 - Change makeup cartridge: Cartridge Empty,24
165,213 - Inspection Required;25 - Add make-up cartridge,45
166,213 - Inspection Required;45 - Watchdog Reset,4
167,15 - Deflection EHT has tripped;561 - Gutter pump vacuum loss but has recovered,30
168,138 - Print trigger occurred too early;581 - ITM life expiry: First Warning,15
169,134 - Unexpected shutdown;19 - Add ink cartridge,13
170,19 - Add ink cartridge;542 - Change makeup cartridge: Cartridge Empty,34
171,19 - Add ink cartridge;25 - Add make-up cartridge,53
172,238 - Insufficient gutter vacuum: retrying;41 - Ink level high,10
173,41 - Ink level high;46 - Makeup Level too High,25
174,143 - The attempt to recover has failed;52 - Jet modulation has failed,39
175,12 - Charge detection error;143 - The attempt to recover has failed,40
176,142 - Recovered successfully;143 - The attempt to recover has failed,25
177,10 - Print Stretch Detected;532 - Change ink cartridge: Empty,2
178,19 - Add ink cartridge;544 - Insert makeup cartridge - no valid cartridge present,43
179,142 - Recovered successfully;544 - Insert makeup cartridge - no valid cartridge present,91
180,142 - Recovered successfully;19 - Add ink cartridge,31
181,211 - Less than 200 hours to next inspection;531 - Change ink cartridge: Expired,1
182,52 - Jet modulation has failed;542 - Change makeup cartridge: Cartridge Empty,30
183,140 - Ink detected on the charge electrode;542 - Change makeup cartridge: Cartridge Empty,16
184,52 - Jet modulation has failed;544 - Insert makeup cartridge - no valid cartridge present,35
185,140 - Ink detected on the charge electrode;544 - Insert makeup cartridge - no valid cartridge present,17
186,143 - The attempt to recover has failed;544 - Insert makeup cartridge - no valid cartridge present,17
187,140 - Ink detected on the charge electrode;52 - Jet modulation has failed,38
188,12 - Charge detection error;15 - Deflection EHT has tripped,58
189,53 - Make-up Level Below Minimum;611 - Please add a new makeup cartridge. Makeup fully expended,19
190,15 - Deflection EHT has tripped;611 - Please add a new makeup cartridge. Makeup fully expended,3
191,15 - Deflection EHT has tripped;53 - Make-up Level Below Minimum,14
192,25 - Add make-up cartridge;41 - Ink level high,28
193,531 - Change ink cartridge: Expired;542 - Change makeup cartridge: Cartridge Empty,18
194,531 - Change ink cartridge: Expired;544 - Insert makeup cartridge - no valid cartridge present,32
195,15 - Deflection EHT has tripped;531 - Change ink cartridge: Expired,38
196,15 - Deflection EHT has tripped;542 - Change makeup cartridge: Cartridge Empty,100
197,46 - Makeup Level too High;557 - Misaligned jet at start-up,8
198,139 - Print Trigger Occurred While Printing;544 - Insert makeup cartridge - no valid cartridge present,53
199,15 - Deflection EHT has tripped;25 - Add make-up cartridge,137
200,10 - Print Stretch Detected;25 - Add make-up cartridge,34
201,15 - Deflection EHT has tripped;581 - ITM life expiry: First Warning,34
202,41 - Ink level high;531 - Change ink cartridge: Expired,13
203,139 - Print Trigger Occurred While Printing;531 - Change ink cartridge: Expired,24
204,213 - Inspection Required;531 - Change ink cartridge: Expired,19
205,213 - Inspection Required;41 - Ink level high,13
206,521 - Change ITM: ITM tag dead;583 - Invalid tag(s),1
207,521 - Change ITM: ITM tag dead;535 - Ink cartridge removed: First Warning,1
208,521 - Change ITM: ITM tag dead;536 - Ink cartridge removed second warning,1
209,521 - Change ITM: ITM tag dead;537 - Ink cartridge removed timeout,1
210,521 - Change ITM: ITM tag dead;545 - Makeup cartridge removed first warning,1
211,521 - Change ITM: ITM tag dead;546 - Makeup cartridge removed second warning,1
212,521 - Change ITM: ITM tag dead;547 - Makeup cartridge removed timeout,1
213,521 - Change ITM: ITM tag dead;609 - Ensure all consumables are engaged,1
214,45 - Watchdog Reset;521 - Change ITM: ITM tag dead,1
215,521 - Change ITM: ITM tag dead;590 - Persistent fault,1
216,535 - Ink cartridge removed: First Warning;583 - Invalid tag(s),2
217,536 - Ink cartridge removed second warning;583 - Invalid tag(s),2
218,537 - Ink cartridge removed timeout;583 - Invalid tag(s),2
219,545 - Makeup cartridge removed first warning;583 - Invalid tag(s),2
220,546 - Makeup cartridge removed second warning;583 - Invalid tag(s),2
221,547 - Makeup cartridge removed timeout;583 - Invalid tag(s),2
222,583 - Invalid tag(s);609 - Ensure all consumables are engaged,1
223,45 - Watchdog Reset;583 - Invalid tag(s),1
224,583 - Invalid tag(s);590 - Persistent fault,1
225,535 - Ink cartridge removed: First Warning;536 - Ink cartridge removed second warning,4
226,535 - Ink cartridge removed: First Warning;537 - Ink cartridge removed timeout,4
227,535 - Ink cartridge removed: First Warning;545 - Makeup cartridge removed first warning,3
228,535 - Ink cartridge removed: First Warning;546 - Makeup cartridge removed second warning,3
229,535 - Ink cartridge removed: First Warning;547 - Makeup cartridge removed timeout,3
230,535 - Ink cartridge removed: First Warning;609 - Ensure all consumables are engaged,1
231,45 - Watchdog Reset;535 - Ink cartridge removed: First Warning,1
232,535 - Ink cartridge removed: First Warning;590 - Persistent fault,1
233,536 - Ink cartridge removed second warning;537 - Ink cartridge removed timeout,5
234,536 - Ink cartridge removed second warning;545 - Makeup cartridge removed first warning,3
235,536 - Ink cartridge removed second warning;546 - Makeup cartridge removed second warning,3
236,536 - Ink cartridge removed second warning;547 - Makeup cartridge removed timeout,3
237,536 - Ink cartridge removed second warning;609 - Ensure all consumables are engaged,1
238,45 - Watchdog Reset;536 - Ink cartridge removed second warning,1
239,536 - Ink cartridge removed second warning;590 - Persistent fault,1
240,537 - Ink cartridge removed timeout;545 - Makeup cartridge removed first warning,3
241,537 - Ink cartridge removed timeout;546 - Makeup cartridge removed second warning,3
242,537 - Ink cartridge removed timeout;547 - Makeup cartridge removed timeout,3
243,537 - Ink cartridge removed timeout;609 - Ensure all consumables are engaged,1
244,45 - Watchdog Reset;537 - Ink cartridge removed timeout,1
245,537 - Ink cartridge removed timeout;590 - Persistent fault,1
246,545 - Makeup cartridge removed first warning;546 - Makeup cartridge removed second warning,7
247,545 - Makeup cartridge removed first warning;547 - Makeup cartridge removed timeout,4
248,545 - Makeup cartridge removed first warning;609 - Ensure all consumables are engaged,1
249,45 - Watchdog Reset;545 - Makeup cartridge removed first warning,1
250,545 - Makeup cartridge removed first warning;590 - Persistent fault,2
251,546 - Makeup cartridge removed second warning;547 - Makeup cartridge removed timeout,4
252,546 - Makeup cartridge removed second warning;609 - Ensure all consumables are engaged,1
253,45 - Watchdog Reset;546 - Makeup cartridge removed second warning,1
254,546 - Makeup cartridge removed second warning;590 - Persistent fault,2
255,547 - Makeup cartridge removed timeout;609 - Ensure all consumables are engaged,1
256,45 - Watchdog Reset;547 - Makeup cartridge removed timeout,1
257,547 - Makeup cartridge removed timeout;590 - Persistent fault,2
258,45 - Watchdog Reset;609 - Ensure all consumables are engaged,1
259,590 - Persistent fault;609 - Ensure all consumables are engaged,11
260,45 - Watchdog Reset;590 - Persistent fault,2
261,524 - Insert ITM: no valid ITM present;620 - Ink cartridge tag out of range,6
262,524 - Insert ITM: no valid ITM present;621 - Makeup cartridge tag out of range,4
263,524 - Insert ITM: no valid ITM present;622 - ITM tag out of range,7
264,620 - Ink cartridge tag out of range;621 - Makeup cartridge tag out of range,4
265,620 - Ink cartridge tag out of range;622 - ITM tag out of range,12
266,510 - Service module disconnected;620 - Ink cartridge tag out of range,9
267,621 - Makeup cartridge tag out of range;622 - ITM tag out of range,2
268,510 - Service module disconnected;621 - Makeup cartridge tag out of range,3
269,510 - Service module disconnected;622 - ITM tag out of range,12
270,142 - Recovered successfully;534 - Insert ink cartridge: No Valid Cartridge Present,45
271,134 - Unexpected shutdown;532 - Change ink cartridge: Empty,6
272,15 - Deflection EHT has tripped;532 - Change ink cartridge: Empty,7
273,544 - Insert makeup cartridge - no valid cartridge present;549 - Change makeup cartridge: Expired,4
274,10 - Print Stretch Detected;544 - Insert makeup cartridge - no valid cartridge present,37
275,1017 - Print delay too short;544 - Insert makeup cartridge - no valid cartridge present,7
276,138 - Print trigger occurred too early;549 - Change makeup cartridge: Expired,1
277,139 - Print Trigger Occurred While Printing;549 - Change makeup cartridge: Expired,3
278,10 - Print Stretch Detected;549 - Change makeup cartridge: Expired,2
279,1017 - Print delay too short;549 - Change makeup cartridge: Expired,2
280,1017 - Print delay too short;139 - Print Trigger Occurred While Printing,8
281,134 - Unexpected shutdown;531 - Change ink cartridge: Expired,14
282,134 - Unexpected shutdown;608 - Makeup cartridge not engaged,8
283,238 - Insufficient gutter vacuum: retrying;531 - Change ink cartridge: Expired,11
284,238 - Insufficient gutter vacuum: retrying;608 - Makeup cartridge not engaged,3
285,531 - Change ink cartridge: Expired;608 - Makeup cartridge not engaged,3
286,25 - Add make-up cartridge;531 - Change ink cartridge: Expired,20
287,25 - Add make-up cartridge;608 - Makeup cartridge not engaged,24
288,117 - Positive air to the print head has failed;46 - Makeup Level too High,1
289,117 - Positive air to the print head has failed;142 - Recovered successfully,7
290,142 - Recovered successfully;46 - Makeup Level too High,16
291,1018 - Internal gearbox frequency too high;544 - Insert makeup cartridge - no valid cartridge present,1
292,1018 - Internal gearbox frequency too high;213 - Inspection Required,2
293,41 - Ink level high;524 - Insert ITM: no valid ITM present,3
294,534 - Insert ink cartridge: No Valid Cartridge Present;535 - Ink cartridge removed: First Warning,1
295,534 - Insert ink cartridge: No Valid Cartridge Present;536 - Ink cartridge removed second warning,1
296,534 - Insert ink cartridge: No Valid Cartridge Present;537 - Ink cartridge removed timeout,1
297,534 - Insert ink cartridge: No Valid Cartridge Present;545 - Makeup cartridge removed first warning,1
298,534 - Insert ink cartridge: No Valid Cartridge Present;546 - Makeup cartridge removed second warning,1
299,534 - Insert ink cartridge: No Valid Cartridge Present;547 - Makeup cartridge removed timeout,1
300,510 - Service module disconnected;535 - Ink cartridge removed: First Warning,1
301,510 - Service module disconnected;536 - Ink cartridge removed second warning,1
302,510 - Service module disconnected;537 - Ink cartridge removed timeout,1
303,510 - Service module disconnected;545 - Makeup cartridge removed first warning,1
304,510 - Service module disconnected;546 - Makeup cartridge removed second warning,1
305,510 - Service module disconnected;547 - Makeup cartridge removed timeout,1
306,41 - Ink level high;532 - Change ink cartridge: Empty,1
307,25 - Add make-up cartridge;532 - Change ink cartridge: Empty,9
308,138 - Print trigger occurred too early;532 - Change ink cartridge: Empty,3
309,1017 - Print delay too short;532 - Change ink cartridge: Empty,3
310,19 - Add ink cartridge;41 - Ink level high,17
311,15 - Deflection EHT has tripped;19 - Add ink cartridge,37
312,138 - Print trigger occurred too early;19 - Add ink cartridge,7
313,1017 - Print delay too short;19 - Add ink cartridge,2
314,138 - Print trigger occurred too early;41 - Ink level high,13
315,1017 - Print delay too short;41 - Ink level high,2
316,1017 - Print delay too short;25 - Add make-up cartridge,5
317,1017 - Print delay too short;15 - Deflection EHT has tripped,13
318,"13 - Long or too fast print, check print quality;567 - Slow gutter dry",1
319,139 - Print Trigger Occurred While Printing;542 - Change makeup cartridge: Cartridge Empty,29
320,10 - Print Stretch Detected;542 - Change makeup cartridge: Cartridge Empty,27
321,41 - Ink level high;542 - Change makeup cartridge: Cartridge Empty,26
322,15 - Deflection EHT has tripped;46 - Makeup Level too High,23
323,138 - Print trigger occurred too early;46 - Makeup Level too High,12
324,139 - Print Trigger Occurred While Printing;46 - Makeup Level too High,16
325,10 - Print Stretch Detected;46 - Makeup Level too High,8
326,16 - Viscosity Out of Range;46 - Makeup Level too High,11
327,46 - Makeup Level too High;52 - Jet modulation has failed,9
328,12 - Charge detection error;46 - Makeup Level too High,10
329,15 - Deflection EHT has tripped;52 - Jet modulation has failed,54
330,10 - Print Stretch Detected;16 - Viscosity Out of Range,6
331,16 - Viscosity Out of Range;52 - Jet modulation has failed,11
332,12 - Charge detection error;16 - Viscosity Out of Range,10
333,534 - Insert ink cartridge: No Valid Cartridge Present;608 - Makeup cartridge not engaged,11
334,542 - Change makeup cartridge: Cartridge Empty;550 - Degraded gutter clearing at start-up,7
335,544 - Insert makeup cartridge - no valid cartridge present;550 - Degraded gutter clearing at start-up,7
336,542 - Change makeup cartridge: Cartridge Empty;557 - Misaligned jet at start-up,15
337,544 - Insert makeup cartridge - no valid cartridge present;557 - Misaligned jet at start-up,19
338,581 - ITM life expiry: First Warning;609 - Ensure all consumables are engaged,7
339,138 - Print trigger occurred too early;609 - Ensure all consumables are engaged,3
340,534 - Insert ink cartridge: No Valid Cartridge Present;607 - Ink cartridge not engaged,10
341,20 - Ink Level Below Minimum;534 - Insert ink cartridge: No Valid Cartridge Present,11
342,53 - Make-up Level Below Minimum;534 - Insert ink cartridge: No Valid Cartridge Present,14
343,46 - Makeup Level too High;534 - Insert ink cartridge: No Valid Cartridge Present,16
344,139 - Print Trigger Occurred While Printing;534 - Insert ink cartridge: No Valid Cartridge Present,19
345,1201 - High viscosity;534 - Insert ink cartridge: No Valid Cartridge Present,17
346,16 - Viscosity Out of Range;534 - Insert ink cartridge: No Valid Cartridge Present,16
347,534 - Insert ink cartridge: No Valid Cartridge Present;590 - Persistent fault,20
348,52 - Jet modulation has failed;534 - Insert ink cartridge: No Valid Cartridge Present,22
349,143 - The attempt to recover has failed;534 - Insert ink cartridge: No Valid Cartridge Present,18
350,607 - Ink cartridge not engaged;608 - Makeup cartridge not engaged,2
351,53 - Make-up Level Below Minimum;607 - Ink cartridge not engaged,6
352,46 - Makeup Level too High;607 - Ink cartridge not engaged,7
353,15 - Deflection EHT has tripped;607 - Ink cartridge not engaged,17
354,139 - Print Trigger Occurred While Printing;607 - Ink cartridge not engaged,7
355,1201 - High viscosity;607 - Ink cartridge not engaged,6
356,16 - Viscosity Out of Range;607 - Ink cartridge not engaged,5
357,213 - Inspection Required;607 - Ink cartridge not engaged,7
358,52 - Jet modulation has failed;607 - Ink cartridge not engaged,9
359,143 - The attempt to recover has failed;607 - Ink cartridge not engaged,13
360,20 - Ink Level Below Minimum;608 - Makeup cartridge not engaged,1
361,53 - Make-up Level Below Minimum;608 - Makeup cartridge not engaged,15
362,46 - Makeup Level too High;608 - Makeup cartridge not engaged,8
363,15 - Deflection EHT has tripped;608 - Makeup cartridge not engaged,16
364,139 - Print Trigger Occurred While Printing;608 - Makeup cartridge not engaged,10
365,1201 - High viscosity;608 - Makeup cartridge not engaged,15
366,16 - Viscosity Out of Range;608 - Makeup cartridge not engaged,10
367,213 - Inspection Required;608 - Makeup cartridge not engaged,6
368,590 - Persistent fault;608 - Makeup cartridge not engaged,3
369,52 - Jet modulation has failed;608 - Makeup cartridge not engaged,3
370,143 - The attempt to recover has failed;608 - Makeup cartridge not engaged,2
371,20 - Ink Level Below Minimum;53 - Make-up Level Below Minimum,5
372,20 - Ink Level Below Minimum;46 - Makeup Level too High,6
373,15 - Deflection EHT has tripped;20 - Ink Level Below Minimum,6
374,139 - Print Trigger Occurred While Printing;20 - Ink Level Below Minimum,2
375,1201 - High viscosity;20 - Ink Level Below Minimum,2
376,16 - Viscosity Out of Range;20 - Ink Level Below Minimum,4
377,20 - Ink Level Below Minimum;213 - Inspection Required,2
378,20 - Ink Level Below Minimum;52 - Jet modulation has failed,4
379,143 - The attempt to recover has failed;20 - Ink Level Below Minimum,6
380,46 - Makeup Level too High;53 - Make-up Level Below Minimum,14
381,139 - Print Trigger Occurred While Printing;53 - Make-up Level Below Minimum,9
382,1201 - High viscosity;53 - Make-up Level Below Minimum,11
383,16 - Viscosity Out of Range;53 - Make-up Level Below Minimum,8
384,213 - Inspection Required;53 - Make-up Level Below Minimum,6
385,53 - Make-up Level Below Minimum;590 - Persistent fault,6
386,52 - Jet modulation has failed;53 - Make-up Level Below Minimum,6
387,143 - The attempt to recover has failed;53 - Make-up Level Below Minimum,4
388,1201 - High viscosity;46 - Makeup Level too High,6
389,213 - Inspection Required;46 - Makeup Level too High,18
390,46 - Makeup Level too High;590 - Persistent fault,12
391,143 - The attempt to recover has failed;46 - Makeup Level too High,5
392,1201 - High viscosity;15 - Deflection EHT has tripped,22
393,15 - Deflection EHT has tripped;590 - Persistent fault,9
394,143 - The attempt to recover has failed;15 - Deflection EHT has tripped,24
395,1201 - High viscosity;139 - Print Trigger Occurred While Printing,9
396,139 - Print Trigger Occurred While Printing;590 - Persistent fault,4
397,139 - Print Trigger Occurred While Printing;143 - The attempt to recover has failed,11
398,1201 - High viscosity;16 - Viscosity Out of Range,58
399,1201 - High viscosity;213 - Inspection Required,8
400,1201 - High viscosity;590 - Persistent fault,4
401,1201 - High viscosity;52 - Jet modulation has failed,6
402,1201 - High viscosity;143 - The attempt to recover has failed,7
403,16 - Viscosity Out of Range;213 - Inspection Required,10
404,16 - Viscosity Out of Range;590 - Persistent fault,7
405,143 - The attempt to recover has failed;16 - Viscosity Out of Range,8
406,213 - Inspection Required;590 - Persistent fault,4
407,143 - The attempt to recover has failed;213 - Inspection Required,6
408,52 - Jet modulation has failed;590 - Persistent fault,6
